First Name,Last Name,Gender,Team,Car,Nationality,DOB,Reliability,Performance,Concentration,Chemistry,Pit Stops,Part Fixes,Wages,Mechanic Bonuses,Relationship With Driver,Weeks Together,Contract Start,Contract End,Patience,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Potential,Improvement Rate,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Stars
Rosina,Homer,F,14,1,Italy,22/05/1992,1,1,1,1,1,1,0.1,4;17,0,0,1999,2000,5,0,1,4,1,0,11,110,50,50,5,,,,,,,,,,0.1
Brian,Williams,M,14,2,UK,22/05/1992,1,1,1,1,1,1,0.1,9;15,0,0,1999,2000,5,3,4,7,0,0,1,110,50,50,5,,,,,,,,,,0.1
Nicole,Dubois,F,15,1,France,22/05/1992,1,1,1,1,1,1,0.1,8;21,0,0,1999,2000,5,5,5,11,0,0,0,110,50,50,5,,,,,,,,,,0.1
Haiden,Lounart,M,15,2,France,22/05/1992,1,1,1,1,1,1,0.1,10;14,0,0,1999,2000,5,4,2,6,0,0,0,110,50,50,5,,,,,,,,,,0.1
Boris,Volkov,M,16,1,RussianFederation,22/05/1992,1,1,1,1,1,1,0.1,12;14,0,0,1999,2000,5,2,5,7,0,0,2,110,50,50,5,,,,,,,,,,0.1
Sally,Cooper,F,16,2,UK,22/05/1992,1,1,1,1,1,1,0.1,1;14,0,0,1999,2000,5,0,9,9,3,0,0,110,50,50,5,,,,,,,,,,0.1
Harriet,Chaucer,F,17,1,UK,22/05/1992,1,1,1,1,1,1,0.1,4;15,0,0,1999,2000,5,4,8,7,0,0,0,110,50,50,5,,,,,,,,,,0.1
Malaki,Hourdouil,M,17,2,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,3;15,0,0,1999,2000,5,0,0,0,1,0,0,110,50,50,5,,,,,,,,,,0.1
Maxine,Solde,F,18,1,Sweden,22/05/1992,1,1,1,1,1,1,0.1,10;15,0,0,1999,2000,5,1,10,6,0,0,4,110,50,50,5,,,,,,,,,,0.1
Juan,López,M,18,2,Mexico,22/05/1992,1,1,1,1,1,1,0.1,2;19,0,0,1999,2000,5,0,10,1,0,0,0,110,50,50,5,,,,,,,,,,0.1
Adan,Calye,M,19,1,Sweden,22/05/1992,1,1,1,1,1,1,0.1,7;16,0,0,1999,2000,5,1,11,5,0,0,4,110,50,50,5,,,,,,,,,,0.1
Alex,O'neil,M,19,2,UK,22/05/1992,1,1,1,1,1,1,0.1,8;18,0,0,1999,2000,5,0,6,8,0,0,8,110,50,50,5,,,,,,,,,,0.1
Gianni,Benvenuti,M,20,1,Italy,22/05/1992,1,1,1,1,1,1,0.1,13;16,0,0,1999,2000,5,2,6,11,0,0,1,110,50,50,5,,,,,,,,,,0.1
Hugo,Harrison,M,20,2,UK,22/05/1992,1,1,1,1,1,1,0.1,3;18,0,0,1999,2000,5,1,3,4,0,0,11,110,50,50,5,,,,,,,,,,0.1
Harrison,Dupuy,M,21,1,Finland,22/05/1992,1,1,1,1,1,1,0.1,1;16,0,0,1999,2000,5,1,5,10,0,0,0,110,50,50,5,,,,,,,,,,0.1
Max,Foeck,M,21,2,Germany,22/05/1992,1,1,1,1,1,1,0.1,4;14,0,0,1999,2000,5,1,6,8,0,0,8,110,50,50,5,,,,,,,,,,0.1
Eve,Harding,F,22,1,UK,22/05/1992,1,1,1,1,1,1,0.1,3;16,0,0,1999,2000,5,3,2,8,1,0,0,110,50,50,5,,,,,,,,,,0.1
Mason,Fairly,M,22,2,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,3;16,0,0,1999,2000,5,0,1,3,0,0,0,110,50,50,5,,,,,,,,,,0.1
Uday,Dhingra,M,23,1,India,22/05/1992,1,1,1,1,1,1,0.1,11;21,0,0,1999,2000,5,4,2,7,0,1,0,110,50,50,5,,,,,,,,,,0.1
Nadim,Kapoor,M,23,2,India,22/05/1992,1,1,1,1,1,1,0.1,3;18,0,0,1999,2000,5,2,6,11,0,0,0,110,50,50,5,,,,,,,,,,0.1
Alex,Jarvis,M,24,1,UK,22/05/1992,1,1,1,1,1,1,0.1,12;17,0,0,1999,2000,5,1,10,9,0,0,7,110,50,50,5,,,,,,,,,,0.1
Mauricio,Kurtz,M,24,2,Spain,22/05/1992,1,1,1,1,1,1,0.1,12;18,0,0,1999,2000,5,1,10,9,0,0,7,110,50,50,5,,,,,,,,,,0.1
Carlos,Guerra,M,25,1,Mexico,22/05/1992,1,1,1,1,1,1,0.1,2;19,0,0,1999,2000,5,5,0,8,1,0,5,110,50,50,5,,,,,,,,,,0.1
Polly,Barker,F,25,2,UK,22/05/1992,1,1,1,1,1,1,0.1,10;21,0,0,1999,2000,5,0,10,3,0,0,1,110,50,50,5,,,,,,,,,,0.1
Tushar,Patel,M,26,1,India,22/05/1992,1,1,1,1,1,1,0.1,9;15,0,0,1999,2000,5,4,3,11,0,0,0,110,50,50,5,,,,,,,,,,0.1
Jordyn,Bourdeau,M,26,2,France,22/05/1992,1,1,1,1,1,1,0.1,4;14,0,0,1999,2000,5,2,3,4,3,0,0,110,50,50,5,,,,,,,,,,0.1
Emilia,Valente,F,27,1,Brazil,22/05/1992,1,1,1,1,1,1,0.1,11;14,0,0,1999,2000,5,4,5,7,0,0,4,110,50,50,5,,,,,,,,,,0.1
Alex,Barbosa,M,27,2,Portugal,22/05/1992,1,1,1,1,1,1,0.1,2;18,0,0,1999,2000,5,1,2,3,0,0,4,110,50,50,5,,,,,,,,,,0.1
Hugh,Gosselin,M,28,1,Finland,22/05/1992,1,1,1,1,1,1,0.1,8;16,0,0,1999,2000,5,4,7,1,0,0,0,110,50,50,5,,,,,,,,,,0.1
Hung,Zhōng,F,28,2,China,22/05/1992,1,1,1,1,1,1,0.1,2;20,0,0,1999,2000,5,2,7,2,0,0,4,110,50,50,5,,,,,,,,,,0.1
Tom,Woodbridge,M,29,1,UK,22/05/1992,1,1,1,1,1,1,0.1,1;18,0,0,1999,2000,5,1,8,7,1,0,0,110,50,50,5,,,,,,,,,,0.1
Oscar,Deveritt,M,29,2,Denmark,22/05/1992,1,1,1,1,1,1,0.1,2;21,0,0,1999,2000,5,5,1,7,0,0,0,110,50,50,5,,,,,,,,,,0.1
Billy,Evans,M,30,1,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,9;15,0,0,1999,2000,5,1,10,5,2,0,10,110,50,50,5,,,,,,,,,,0.1
Rachel,McAndrew,F,30,2,UK,22/05/1992,1,1,1,1,1,1,0.1,10;17,0,0,1999,2000,5,0,1,9,0,0,5,110,50,50,5,,,,,,,,,,0.1
Jonny,Jenkinson,M,31,1,UK,22/05/1992,1,1,1,1,1,1,0.1,4;17,0,0,1999,2000,5,3,7,6,0,0,0,110,50,50,5,,,,,,,,,,0.1
Stephanie,Thomas,F,31,2,UK,22/05/1992,1,1,1,1,1,1,0.1,8;21,0,0,1999,2000,5,0,6,8,0,0,0,110,50,50,5,,,,,,,,,,0.1
Kenny,Harding,M,32,1,UK,22/05/1992,1,1,1,1,1,1,0.1,9;20,0,0,1999,2000,5,4,3,8,0,0,8,110,50,50,5,,,,,,,,,,0.1
Roger,Dunbar,M,32,2,Ireland,22/05/1992,1,1,1,1,1,1,0.1,1;21,0,0,1999,2000,5,0,3,9,0,0,11,110,50,50,5,,,,,,,,,,0.1
Freya,Coley,F,33,1,UK,22/05/1992,1,1,1,1,1,1,0.1,11;21,0,0,1999,2000,5,4,7,6,0,0,4,110,50,50,5,,,,,,,,,,0.1
Karl,Tye,M,33,2,UK,22/05/1992,1,1,1,1,1,1,0.1,10;21,0,0,1999,2000,5,1,11,10,3,0,3,110,50,50,5,,,,,,,,,,0.1
Thomas,Dole,M,34,1,UK,22/05/1992,1,1,1,1,1,1,0.1,8;19,0,0,1999,2000,5,0,11,4,0,0,1,110,50,50,5,,,,,,,,,,0.1
Fritz,König,M,34,2,Germany,22/05/1992,1,1,1,1,1,1,0.1,4;20,0,0,1999,2000,5,1,2,8,0,0,0,110,50,50,5,,,,,,,,,,0.1
Bette,Baumann,F,35,1,Germany,22/05/1992,1,1,1,1,1,1,0.1,2;17,0,0,1999,2000,5,3,7,9,1,0,4,110,50,50,5,,,,,,,,,,0.1
Yasmin,Jenkins,F,35,2,UK,22/05/1992,1,1,1,1,1,1,0.1,3;20,0,0,1999,2000,5,1,8,4,0,0,0,110,50,50,5,,,,,,,,,,0.1
Trevor,Atkinson,M,36,1,UK,22/05/1992,1,1,1,1,1,1,0.1,13;16,0,0,1999,2000,5,1,5,9,0,0,5,110,50,50,5,,,,,,,,,,0.1
Francis,West,M,36,2,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,10;20,0,0,1999,2000,5,0,7,11,0,0,2,110,50,50,5,,,,,,,,,,0.1
Carrie,Hogan,F,37,1,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,3;18,0,0,1999,2000,5,3,7,6,0,0,0,110,50,50,5,,,,,,,,,,0.1
Gabriela,Rojas,F,37,2,Chile,22/05/1992,1,1,1,1,1,1,0.1,3;15,0,0,1999,2000,5,0,6,1,0,0,11,110,50,50,5,,,,,,,,,,0.1
Kai,Gosselin,M,38,1,Finland,22/05/1992,1,1,1,1,1,1,0.1,8;16,0,0,1999,2000,5,2,7,1,0,0,0,110,50,50,5,,,,,,,,,,0.1
Ali,Basara,M,38,2,Egypt,22/05/1992,1,1,1,1,1,1,0.1,10;16,0,0,1999,2000,5,0,4,5,0,0,5,110,50,50,5,,,,,,,,,,0.1
Kelly,Shaw,F,39,1,UK,22/05/1992,1,1,1,1,1,1,0.1,9;18,0,0,1999,2000,5,4,3,9,1,0,4,110,50,50,5,,,,,,,,,,0.1
Janet,Murphy,F,39,2,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,12;18,0,0,1999,2000,5,1,0,1,0,0,0,110,50,50,5,,,,,,,,,,0.1
Billy,Parker,M,40,1,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,4;19,0,0,1999,2000,5,2,5,3,1,0,0,110,50,50,5,,,,,,,,,,0.1
Rachel,Edwards,F,40,2,UK,22/05/1992,1,1,1,1,1,1,0.1,9;17,0,0,1999,2000,5,1,1,6,0,0,11,110,50,50,5,,,,,,,,,,0.1
Susan,Mathews,F,41,1,Ireland,22/05/1992,1,1,1,1,1,1,0.1,4;21,0,0,1999,2000,5,1,7,2,0,0,0,110,50,50,5,,,,,,,,,,0.1
Gary,Quinn,M,41,2,UK,22/05/1992,1,1,1,1,1,1,0.1,4;21,0,0,1999,2000,5,5,2,6,0,0,0,110,50,50,5,,,,,,,,,,0.1
Alyx,Grey,F,42,2,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,10;15,0,0,1999,2000,5,4,5,7,0,0,0,110,50,50,5,,,,,,,,,,0.1
Toby,Hart,M,42,1,UK,22/05/1992,1,1,1,1,1,1,0.1,9;15,0,0,1999,2000,5,1,4,3,0,0,3,110,50,50,5,,,,,,,,,,0.1
Bobby,Graves,M,43,2,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,8;20,0,0,1999,2000,5,1,7,9,0,0,0,110,50,50,5,,,,,,,,,,0.1
Pete,Coleby,M,43,1,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,4;15,0,0,1999,2000,5,2,7,2,1,1,4,110,50,50,5,,,,,,,,,,0.1
Robert,Morris,M,44,2,UK,22/05/1992,1,1,1,1,1,1,0.1,8;19,0,0,1999,2000,5,3,2,4,0,0,0,110,50,50,5,,,,,,,,,,0.1
Isabel,Bishop,F,44,1,Ireland,22/05/1992,1,1,1,1,1,1,0.1,10;21,0,0,1999,2000,5,1,10,4,0,0,0,110,50,50,5,,,,,,,,,,0.1
Ellen,McBride,F,45,2,UK,22/05/1992,1,1,1,1,1,1,0.1,1;21,0,0,1999,2000,5,3,6,5,0,1,0,110,50,50,5,,,,,,,,,,0.1
Wanda,Adams,F,45,1,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,2;18,0,0,1999,2000,5,1,8,7,0,0,0,110,50,50,5,,,,,,,,,,0.1
Albwin,Nessler,M,46,2,Germany,22/05/1992,1,1,1,1,1,1,0.1,9;21,0,0,1999,2000,5,1,5,8,0,0,2,110,50,50,5,,,,,,,,,,0.1
Alessandro,Mavros,M,46,1,Greece,22/05/1992,1,1,1,1,1,1,0.1,10;21,0,0,1999,2000,5,2,2,6,1,0,0,110,50,50,5,,,,,,,,,,0.1
Nicolas,Vogelstein,M,47,2,Germany,22/05/1992,1,1,1,1,1,1,0.1,4;16,0,0,1999,2000,5,4,13,6,0,0,4,110,50,50,5,,,,,,,,,,0.1
Chen,Heng,F,47,1,China,22/05/1992,1,1,1,1,1,1,0.1,8;19,0,0,1999,2000,5,2,2,7,1,0,0,110,50,50,5,,,,,,,,,,0.1
Chepe,Lima,M,48,2,Cuba,22/05/1992,1,1,1,1,1,1,0.1,9;17,0,0,1999,2000,5,5,1,8,1,0,4,110,50,50,5,,,,,,,,,,0.1
Aidan,Graveson,M,48,1,UK,22/05/1992,1,1,1,1,1,1,0.1,8;19,0,0,1999,2000,5,1,9,7,0,0,0,110,50,50,5,,,,,,,,,,0.1
Noel,Stephens,M,49,2,UK,22/05/1992,1,1,1,1,1,1,0.1,19;4,0,0,1999,2000,5,2,7,7,0,0,10,110,50,50,5,,,,,,,,,,0.1
Jacob,Denton,M,49,1,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,1;15,0,0,1999,2000,5,1,5,8,3,0,0,110,50,50,5,,,,,,,,,,0.1
Danny,White,M,50,2,UK,22/05/1992,1,1,1,1,1,1,0.1,1;18,0,0,1999,2000,5,2,6,8,0,0,7,110,50,50,5,,,,,,,,,,0.1
Peter,Stephens,M,50,1,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,9;17,0,0,1999,2000,5,2,10,6,1,0,7,110,50,50,5,,,,,,,,,,0.1
Nicole,Farrugia,F,51,2,Malta,22/05/1992,1,1,1,1,1,1,0.1,8;21,0,0,1999,2000,5,1,6,8,0,0,7,110,50,50,5,,,,,,,,,,0.1
Albert,Porter,M,51,1,UK,22/05/1992,1,1,1,1,1,1,0.1,4;20,0,0,1999,2000,5,2,9,8,0,0,11,110,50,50,5,,,,,,,,,,0.1
Gary,Watson,M,52,1,UK,22/05/1992,1,1,1,1,1,1,0.1,12;21,0;0;0,0;0;0,1999,2000,5,2,6,1,0,0,1,110,50,50,5,,,,,,,,,,0.1
Astrid,Öberg,F,53,1,Sweden,22/05/1992,1,1,1,1,1,1,0.1,7;21,0;0;0,0;0;0,1999,2000,5,0,3,2,0,0,0,110,50,50,5,,,,,,,,,,0.1
Danny,Cox,M,54,1,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,12;15,0;0;0,0;0;0,1999,2000,5,4,2,5,1,0,0,110,50,50,5,,,,,,,,,,0.1
Amelia,Vroom,F,55,1,Netherlands,22/05/1992,1,1,1,1,1,1,0.1,4;15,0;0;0,0;0;0,1999,2000,5,0,2,8,1,0,0,110,50,50,5,,,,,,,,,,0.1
Matías,Campos,M,56,1,Spain,22/05/1992,1,1,1,1,1,1,0.1,8;19,0;0;0,0;0;0,1999,2000,5,5,0,8,0,0,9,110,50,50,5,,,,,,,,,,0.1
Corey,Watson,M,57,1,UK,22/05/1992,1,1,1,1,1,1,0.1,1;21,0;0;0,0;0;0,1999,2000,5,1,12,5,0,0,0,110,50,50,5,,,,,,,,,,0.1
Esther,Bischoff,F,58,1,Germany,22/05/1992,1,1,1,1,1,1,0.1,11;14,0;0;0,0;0;0,1999,2000,5,1,11,4,0,0,0,110,50,50,5,,,,,,,,,,0.1
Zeng,Junling,M,59,1,China,22/05/1992,1,1,1,1,1,1,0.1,3;16,0;0;0,0;0;0,1999,2000,5,2,8,1,0,0,8,110,50,50,5,,,,,,,,,,0.1
Kolosova,Danilovna,F,60,1,RussianFederation,22/05/1992,1,1,1,1,1,1,0.1,2;15,0;0;0,0;0;0,1999,2000,5,0,7,10,0,0,0,110,50,50,5,,,,,,,,,,0.1
Park,Kyou-Sun,F,61,1,SouthKorea,22/05/1992,1,1,1,1,1,1,0.1,7;17,0;0;0,0;0;0,1999,2000,5,2,4,8,0,0,0,110,50,50,5,,,,,,,,,,0.1
Francisco,Reyes,M,62,1,Spain,22/05/1992,1,1,1,1,1,1,0.1,13;20,0;0;0,0;0;0,1999,2000,5,3,6,2,0,0,2,110,50,50,5,,,,,,,,,,0.1
Henry,Watts,M,63,1,UK,22/05/1992,1,1,1,1,1,1,0.1,9;18,0;0;0,0;0;0,1999,2000,5,1,0,0,0,0,7,110,50,50,5,,,,,,,,,,0.1
Sybille,Gruber,F,52,2,Germany,22/05/1992,1,1,1,1,1,1,0.1,4;16,0;0;0,0;0;0,1999,2000,5,1,9,6,0,0,1,110,50,50,5,,,,,,,,,,0.1
Ishii,Katzumi,M,53,2,Japan,22/05/1992,1,1,1,1,1,1,0.1,7;15,0;0;0,0;0;0,1999,2000,5,2,3,7,0,0,0,110,50,50,5,,,,,,,,,,0.1
Denzel,Hancock,M,54,2,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,2;19,0;0;0,0;0;0,1999,2000,5,5,2,9,1,0,10,110,50,50,5,,,,,,,,,,0.1
Juliette,Vonderman,F,55,2,Netherlands,22/05/1992,1,1,1,1,1,1,0.1,8;21,0;0;0,0;0;0,1999,2000,5,0,1,8,1,0,0,110,50,50,5,,,,,,,,,,0.1
Marie,Boisselot,F,56,2,France,22/05/1992,1,1,1,1,1,1,0.1,8;17,0;0;0,0;0;0,1999,2000,5,2,4,9,0,0,0,110,50,50,5,,,,,,,,,,0.1
Jamar,Long,M,57,2,SouthAfrica,22/05/1992,1,1,1,1,1,1,0.1,9;20,0;0;0,0;0;0,1999,2000,5,4,13,9,0,0,6,110,50,50,5,,,,,,,,,,0.1
Lucas,Bethune,M,58,2,France,22/05/1992,1,1,1,1,1,1,0.1,1;17,0;0;0,0;0;0,1999,2000,5,2,9,9,0,0,0,110,50,50,5,,,,,,,,,,0.1
Shao,Tu,M,59,2,China,22/05/1992,1,1,1,1,1,1,0.1,3;20,0;0;0,0;0;0,1999,2000,5,3,10,4,0,0,0,110,50,50,5,,,,,,,,,,0.1
Lovisa,Frisk,F,60,2,Sweden,22/05/1992,1,1,1,1,1,1,0.1,4;18,0;0;0,0;0;0,1999,2000,5,0,1,0,0,0,0,110,50,50,5,,,,,,,,,,0.1
Kim,Sung-Ryong,M,61,2,SouthKorea,22/05/1992,1,1,1,1,1,1,0.1,8;16,0;0;0,0;0;0,1999,2000,5,3,6,8,0,0,1,110,50,50,5,,,,,,,,,,0.1
Rory,Gibson,M,62,2,UK,22/05/1992,1,1,1,1,1,1,0.1,13;21,0;0;0,0;0;0,1999,2000,5,5,1,6,0,0,4,110,50,50,5,,,,,,,,,,0.1
Rosa,Molina,F,63,2,Spain,22/05/1992,1,1,1,1,1,1,0.1,10;16,0;0;0,0;0;0,1999,2000,5,4,0,8,0,0,0,110,50,50,5,,,,,,,,,,0.1
Becky,Kitagawa,F,,2,Canada,22/05/1992,1,1,1,1,1,1,,3;20,,,,,5,1,2,5,1,0,0,110,50,50,5,,,,,,,,,,0.1
Trevor,Clarke,M,,2,UK,22/05/1992,1,1,1,1,1,1,,7;15,,,,,5,2,5,6,0,0,0,110,50,50,5,,,,,,,,,,0.1
Carlos,Semedo,M,,2,Spain,22/05/1992,1,1,1,1,1,1,,3;16,,,,,5,4,6,3,1,0,4,110,50,50,5,,,,,,,,,,0.1
Samantha,Stafford,F,,2,UK,22/05/1992,1,1,1,1,1,1,,7;17,,,,,5,1,4,8,0,0,0,110,50,50,5,,,,,,,,,,0.1
Kevin,Süle,M,,2,Germany,22/05/1992,1,1,1,1,1,1,,8;19,,,,,5,2,6,1,0,0,6,110,50,50,5,,,,,,,,,,0.1
