First Name,Last Name,Gender,Team,Status,Car,Nationality,DOB,Traits,Fame,Scouting Level,Weight,Wages,Contract End,Contract Start,Qualifying Bonus Amount,Qualifying Bonus Position,Race Bonus Amount,Race Bonus Position,Champion Bonus,Pay Driver,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Optimal Zone,Driving Style,Driver Number,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Form,Experience,Morale,Obedience,Potential,Patience,Chairman Popularity,Fans Popularity,Sponsor Popularity,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Body Type,Hat,Helmet Style,Helmet Primary Colour,Helmet Secondary Colour,Helmet Tertiary Colour,Marketability,Brake Supplier Preference,Improvement Rate,Peak Duration,Peak Age,Desired Championships,Desired Wins,Desired Earnings,Desired Budget,Stars,Series Preference,Reward ID
Austin,Zarate,M,21,Equal,,Indonesia,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,1,7,0,0,0,0,4,0,5,2,3,50,3,50,5,30,1,1,0,100,0.1,Any,
Sergio,Arbeloa,M,22,Equal,,Spain,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,5,5,6,0,0,0,0,4,0,6,3,6,50,5,50,5,30,1,1,0,100,0.1,Any,
Edda,Jónsdóttir,F,22,Equal,,Iceland,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,5,2,0,0,1,0,13,0,10,10,1,50,1,50,5,30,1,1,0,100,0.1,Any,
Jean-François,Beauchamp,M,23,One,,Canada,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,0,9,4,0,10,0,0,0,10,5,0,50,1,50,5,30,1,1,0,100,0.1,Any,
Tanvir,Jha,M,23,Two,,India,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,4,0,6,0,0,0,0,6,0,5,3,5,50,2,50,5,30,1,1,0,100,0.1,Any,
Luigi,Marchetta,M,24,Equal,,Italy,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,3,5,9,0,0,2,0,8,0,9,7,4,50,2,50,5,30,1,1,0,100,0.1,Any,
Claudia,Dreyfuss,F,24,Equal,,Germany,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,3,4,3,0,0,0,15,0,9,2,3,50,1,50,5,30,1,1,0,100,0.1,Any,
Sergey,Antonov,M,25,One,,RussianFederation,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,5,3,8,0,0,4,0,3,0,1,7,2,50,4,50,5,30,1,1,0,100,0.1,Any,
Merja,Väänänen,F,25,Two,,Finland,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,0,8,0,0,5,0,10,0,5,8,5,50,1,50,5,30,1,1,0,100,0.1,Any,
André,Sabado,M,26,One,,Brazil,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,3,3,8,0,0,1,0,16,0,10,5,7,50,4,50,5,30,1,1,0,100,0.1,Any,
Jean-Pierre,Gérard,M,26,Two,,France,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,0,6,3,0,9,0,10,0,2,9,9,50,3,50,5,30,1,1,0,100,0.1,Any,
Amanda,Cavalcanti,F,27,Two,,Brazil,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,0,9,1,0,0,0,7,0,4,2,4,50,1,50,5,30,1,1,0,100,0.1,Any,
Eduardo,Melo,M,27,One,,Brazil,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,4,2,4,0,0,0,0,7,0,1,0,9,50,1,50,5,30,1,1,0,100,0.1,Any,
Nick,Chu,M,28,Two,,Thailand,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,2,9,0,0,0,0,16,0,6,5,6,50,5,50,5,30,1,1,0,100,0.1,Any,
Bao,Tāng,M,28,One,,China,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,5,8,0,0,3,0,13,0,7,6,10,50,2,50,5,30,1,1,0,100,0.1,Any,
Ines,Santa Ana,F,29,Equal,,Argentina,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,5,7,0,0,0,0,12,0,6,1,3,50,1,50,5,30,1,1,0,100,0.1,Any,
William,Evans,M,29,Equal,,Australia,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,1,8,3,0,1,0,9,0,8,0,7,50,3,50,5,30,1,1,0,100,0.1,Any,
Aurélie,Dembélé,F,30,Two,,France,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,5,3,8,0,0,0,0,17,0,4,7,0,50,2,50,5,30,1,1,0,100,0.1,Any,
Sergio,Valdés,M,30,One,,Spain,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,4,0,5,1,0,0,0,0,0,7,6,2,50,2,50,5,30,1,1,0,100,0.1,Any,
Mustafa,El Sadat,M,31,Equal,,Egypt,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,1,5,0,0,0,0,1,0,5,3,8,50,5,50,5,30,1,1,0,100,0.1,Any,
Alex,Rogers,M,31,Equal,,UK,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,1,1,1,0,2,0,0,0,3,5,5,50,3,50,5,30,1,1,0,100,0.1,Any,
Noomi,Seppälä,F,12,Reserve,,Finland,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,5,1,0,0,0,0,4,0,3,9,5,50,1,50,5,30,1,1,0,100,0.1,Any,
Andrea,Floridi,F,13,Reserve,,Italy,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,3,4,7,0,0,0,0,12,0,4,9,8,50,3,50,5,30,1,1,0,100,0.1,Any,
Amy,McCloud,F,14,Reserve,,UK,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,5,2,0,0,0,0,16,0,6,7,7,50,2,50,5,30,1,1,0,100,0.1,Any,
Frankie,Parkes,M,15,Reserve,,UK,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,4,8,0,0,0,0,3,0,5,2,4,50,5,50,5,30,1,1,0,100,0.1,Any,
Gabriela,Sá,F,16,Reserve,,Portugal,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,5,4,8,3,0,0,0,11,0,2,6,3,50,1,50,5,30,1,1,0,100,0.1,Any,
Magnus,Krantz,M,17,Reserve,,Germany,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,2,7,0,0,0,0,5,0,5,9,7,50,4,50,5,30,1,1,0,100,0.1,Any,
Thierry,Leclère,M,18,Reserve,,France,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,5,4,7,0,0,0,0,11,0,2,1,6,50,3,50,5,30,1,1,0,100,0.1,Any,
Ebony,Tyler,F,19,Reserve,,UK,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,1,2,4,0,0,0,12,0,8,8,8,50,4,50,5,30,1,1,0,100,0.1,Any,
Khotso,Masilela,M,20,Reserve,,SouthAfrica,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,4,3,8,0,0,10,0,17,0,2,0,10,50,4,50,5,30,1,1,0,100,0.1,Any,
Jaidee,Veerapol,F,21,Reserve,,Thailand,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,1,4,0,0,0,0,13,0,7,6,4,50,5,50,5,30,1,1,0,100,0.1,Any,
Shen,Qi,F,22,Reserve,,China,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,5,5,0,0,0,0,12,0,0,10,1,50,3,50,5,30,1,1,0,100,0.1,Any,
Valerie,Yao,F,23,Reserve,,Singapore,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,3,5,8,0,0,0,0,1,0,9,2,9,50,2,50,5,30,1,1,0,100,0.1,Any,
Adrian,Earle,M,24,Reserve,,UK,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,1,0,0,0,0,0,17,0,4,10,9,50,5,50,5,30,1,1,0,100,0.1,Any,
